iter	Passed	Remaining
1623	2079	23528
1624	2080	23525
1625	2081	23523
1626	2083	23522
1627	2084	23519
1628	2085	23517
1629	2086	23515
1630	2087	23512
1631	2088	23509
1632	2089	23506
1633	2091	23503
1634	2092	23500
1635	2093	23497
1636	2094	23495
1637	2095	23492
1638	2096	23490
1639	2098	23489
1640	2099	23486
1641	2100	23483
1642	2101	23481
1643	2102	23479
1644	2103	23476
1645	2105	23473
1646	2106	23471
1647	2107	23468
1648	2108	23466
1649	2109	23465
1650	2111	23463
1651	2112	23460
1652	2113	23460
1653	2114	23457
1654	2116	23455
1655	2117	23451
1656	2118	23449
1657	2119	23447
1658	2120	23444
1659	2121	23441
1660	2122	23438
1661	2124	23436
1662	2125	23434
1663	2126	23431
1664	2127	23429
1665	2128	23426
1666	2130	23425
1667	2131	23423
1668	2132	23421
1669	2133	23418
1670	2134	23417
1671	2136	23414
1672	2137	23412
1673	2138	23409
1674	2139	23407
1675	2140	23404
1676	2141	23402
1677	2143	23400
1678	2144	23397
1679	2145	23395
1680	2146	23392
1681	2147	23389
1682	2148	23386
1683	2150	23384
1684	2151	23382
1685	2152	23379
1686	2153	23376
1687	2154	23374
1688	2155	23371
1689	2156	23369
1690	2158	23366
1691	2159	23364
1692	2160	23362
1693	2161	23359
1694	2162	23357
1695	2164	23355
1696	2165	23352
1697	2166	23350
1698	2167	23347
1699	2168	23345
1700	2169	23342
1701	2171	23343
1702	2172	23342
1703	2173	23340
1704	2174	23337
1705	2176	23334
1706	2177	23333
1707	2178	23331
1708	2179	23328
1709	2181	23330
1710	2182	23329
1711	2183	23327
1712	2184	23325
1713	2186	23323
1714	2187	23320
1715	2188	23317
1716	2189	23315
1717	2191	23318
1718	2193	23325
1719	2194	23322
1720	2195	23319
1721	2196	23317
1722	2197	23314
1723	2199	23311
1724	2200	23308
1725	2201	23306
1726	2202	23304
1727	2203	23301
1728	2204	23298
1729	2206	23297
1730	2207	23294
1731	2208	23294
1732	2209	23291
1733	2210	23289
1734	2212	23287
1735	2213	23284
1736	2214	23281
1737	2215	23279
1738	2216	23276
1739	2217	23273
